id,name,region,jumps,pod_kills,ship_kills,npc_kills,station
30000001,Tanoo,Derelik,408,0,0,26,T
30000002,Lashesih,Derelik,284,0,0,175,F
30000003,Akpivem,Derelik,275,0,1,129,F
30000004,Jark,Derelik,392,0,0,190,F
30000005,Sasta,Derelik,589,0,2,239,T
30000006,Zaid,Derelik,52,0,0,29,F
30000007,Yuzier,Derelik,169,0,0,19,T
30000008,Nirbhi,Derelik,166,0,0,75,F
30000009,Sooma,Derelik,4,0,0,9,T
30000010,Chidah,Derelik,34,2,0,2,T
30000011,Shenela,Derelik,8,0,0,0,F
30000012,Asabona,Derelik,259,0,0,6,T
30000013,Onsooh,Derelik,319,0,0,0,F
30000014,Shamahi,Derelik,47,2,0,7,T
30000015,Sendaya,Derelik,448,13,14,14,T
30000016,Nazhgete,Derelik,16,0,0,3,F
30000017,Futzchag,Derelik,47,1,0,1,T
30000018,Kazna,Derelik,61,0,0,15,F
30000019,Podion,Derelik,35,1,2,0,T
30000020,Lilmad,Derelik,6,0,0,0,F
30000021,Kuharah,Derelik,18,0,0,0,F
30000022,Jayneleb,Derelik,74,0,0,0,F
30000023,Fovihi,Derelik,56,0,0,0,T
30000024,Kiereend,Derelik,33,0,0,65,T
30000025,Rashy,Derelik,17,0,0,61,T
30000026,Ordize,Derelik,72,0,0,38,F
30000027,Psasa,Derelik,6,0,0,0,F
30000028,Eshtah,Derelik,38,0,0,15,F
30000029,Lachailes,Derelik,7,0,0,42,F
30000030,Kasrasi,Derelik,63,0,0,9,T
30000031,Mohas,Derelik,57,0,0,50,T
30000032,Hasiari,Derelik,100,0,0,194,T
30000033,Radima,Derelik,61,0,0,133,T
30000034,Alkez,Derelik,28,0,0,139,T
30000035,Nimambal,Derelik,60,0,0,152,F
30000036,Yishinoon,Derelik,24,0,0,17,F
30000037,Uplingur,Derelik,43,0,0,0,T
30000038,Dooz,Derelik,13,0,0,0,F
30000039,Bayuka,Derelik,8,0,0,0,T
30000040,Uzistoon,Derelik,24,0,1,0,T
30000041,Bairshir,Derelik,3,0,0,0,T
30000042,Moh,Derelik,0,0,0,0,F
30000043,Sari,Derelik,12,0,0,0,F
30000044,Faspera,Derelik,17,0,0,2,T
30000045,Jaymass,Derelik,25,0,0,37,F
30000046,Mifrata,Derelik,121,0,0,17,F
30000047,Majamar,Derelik,1,0,0,0,F
30000048,Ihal,Derelik,110,0,0,37,F
30000049,Camal,Derelik,9,0,0,11,T
30000050,Fera,Derelik,0,0,0,0,F
30000051,Juddi,Derelik,160,0,0,9,T
30000052,Maspah,Derelik,170,0,0,68,T
30000053,Ibaria,Derelik,5,0,0,5,T
30000054,Shala,Derelik,6,0,0,12,F
30000055,Zemalu,Derelik,18,0,0,38,T
30000056,Khankenirdia,Derelik,23,0,0,97,T
30000057,Nikh,Derelik,89,0,0,16,T
30000058,Amphar,Derelik,98,0,0,95,F
30000059,Salashayama,Derelik,86,0,0,76,T
30000060,Janus,Derelik,77,1,1,136,F
30000061,Agha,Derelik,9,0,0,13,T
30000062,Iosantin,Derelik,10,0,0,2,F
30000063,Orva,Derelik,44,0,0,17,F
30000064,Zet,Derelik,30,0,0,28,F
30000065,Akhrad,Derelik,7,0,0,0,F
30000066,Pirohdim,Derelik,12,0,0,41,F
30000067,Sharir,Derelik,6,0,0,22,F
30000068,Usroh,Derelik,5,0,0,4,F
30000069,Thiarer,Derelik,36,0,0,30,T
30000070,Gomati,Derelik,214,0,0,0,F
30000071,Jangar,Derelik,5,0,0,12,T
30000072,Nakah,Derelik,129,3,1,9,T
30000073,Irshah,Derelik,236,2,1,9,T
30000074,Hasateem,Derelik,41,0,0,18,T
30000075,Assah,Derelik,175,0,1,5,T
30000076,Tidacha,Derelik,54,0,0,130,T
30000077,Odlib,Derelik,41,0,0,42,F
30000078,Jofan,Derelik,14,0,0,148,F
30000079,Milu,Derelik,14,0,0,62,F
30000080,Yadi,Derelik,19,0,0,20,F
30000081,Buftiar,Derelik,6,0,0,10,F
30000082,Jarizza,Derelik,108,0,0,86,T
30000083,Ejahi,Derelik,69,0,0,77,T
30000084,Asghatil,Derelik,129,0,0,8,T
30000085,Bar,Derelik,117,0,0,30,F
30000086,Sucha,Derelik,46,0,0,8,F
30000087,Gelhan,Derelik,53,0,0,76,T
30000088,Akeva,Derelik,23,0,0,20,T
